Content Path,Filename,develop Link,main Link,Production Link,title,last_modified_at,to-do List,articleIndex,description,azure_dir,Obsolete Front Matter,contributors,contributor.role,contributor.name,contributor.headshot,contributor.caption,contributor.bio,categories,header_image,header_image.filename,header_image.alt_text,tags,byline,byline2,subtitle,no_leaf_bug,index,date,draft
volume-ix-issue-1,ulbrich,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/ulbrich ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/ulbrich ,https://rootstalk.grinnell.edu/volume-ix-issue-1/ulbrich ,Interview with Congressman Neal Smith,,,19,,rootstalk-2023-spring,[],1,author,Tayler Chicoine Ulbrich,Ulbrich-1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of Tayler Ulbrich,"Tayler Chicoine Ulbrich grew up near Des Moines, Iowa, graduated from Grinnell College in 2014, and subsequently received a PhD i...",Interview,True,ulbrich-header.jpg,,,"Tayler Chicoine Ulbrich, with Jon Andelson",,,,ulbrich,18/08/2023 08:13:13,False
volume-ix-issue-1,sang-sang,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/sang-sang ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/sang-sang ,https://rootstalk.grinnell.edu/volume-ix-issue-1/sang-sang ,New Lives in the Midwest,,,3,,rootstalk-2023-spring,[],1,author,Peter Chan Min Sang & Saul Chan Htoo Sang,Saul-1-volume-ix-issue-1-spring-2023.png,Photo courtesy of Zara Pylvainen,"Peter Chan Min Sang (left), born in [Myanmar/Burma](https://en.wikipedia.org/wiki/Myanmar), graduated from [Carleton College](htt...",Interview,True,saul-header.jpg,, ,Peter Chan Min Sang & Saul Chan Htoo Sang,,,,sang-sang,18/08/2023 08:13:13,False
volume-ix-issue-1,tech-on-the-prarie,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/tech-on-the-prarie ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/tech-on-the-prarie ,https://rootstalk.grinnell.edu/volume-ix-issue-1/tech-on-the-prarie ,Technology on the Prairie,,,5,,rootstalk-2023-spring,[],1,author,Marty Allen,allen-1-volume-ix-issue-1-spring-2023.jpg,Photo by Katie Kriegel,"Associate Editor Marty Allen '23 is a native Grinnellian. He is a graduate of Grinnell College, where he earned his degree in Com...",Photo Essay,True,allen-header.jpg,,technology,by Marty Allen,,,,tech-on-the-prarie,18/08/2023 08:13:13,False
volume-ix-issue-1,enshayan,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/enshayan ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/enshayan ,https://rootstalk.grinnell.edu/volume-ix-issue-1/enshayan ,Is Renewable Energy Enough?,,,8,,rootstalk-2023-spring,[],1,author,Kamyar Enshayan,Enshayan-1-volume-ix-issue-1-spring-2023.jpg,Photos courtesy of Kamyar Enshayan,"Kamyar Enshayan works at the [University of Northern Iowa’s Center for Energy & Environmental Education](https://ceee.uni.edu), a...",Essay,True,enshayan-header.jpg,,,by Kamyar Enshayan,,,,enshayan,18/08/2023 08:13:13,False
volume-ix-issue-1,spindler-krage,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/spindler-krage ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/spindler-krage ,https://rootstalk.grinnell.edu/volume-ix-issue-1/spindler-krage ,A Spirited Land: Indigenous Tribes' Fight to Protect the Boundary Waters,,,17,,rootstalk-2023-spring,[],1,author,Zach Spindler-krage,spindler-krage1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of Zach spindler-krage,"Zach Spindler-Krage '25 is a native Minnesotan who feels an immense amount of state pride. He has always loved writing, history, ...",Essay,True,spindler-header.jpg,,native american,by Zach Spindler-krage,,,,spindler-krage,18/08/2023 08:13:13,False
volume-ix-issue-1,walsh,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/walsh ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/walsh ,https://rootstalk.grinnell.edu/volume-ix-issue-1/walsh ,Four-Legged People: Five Poems,,,6,,rootstalk-2023-spring,[],1,author,Emma Walsh,walsh-1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of Saul Chan Htoo Sang,Emma Walsh recently graduated from Grinnell College with a Bachlor's degree in Biology. She dreams of attending medical school to...,Poetry,True,walsh-header.jpg,,,by Emma Walsh,,,,walsh,18/08/2023 08:13:13,False
volume-ix-issue-1,publisher,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/publisher ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/publisher ,https://rootstalk.grinnell.edu/volume-ix-issue-1/publisher ,Publisher's Note: Some New Books about the Tallgrass Prairie Region,,,0,,rootstalk-2023-spring,[],1,author,Jon Andelson,Andelson-1-volume-viii-issue-1-spring-2022.jpg,Photo courtesy of Jon Andelson,Jon Andelson is the Publisher of Rootstalk. He is [Rosenfield Professor of Social Science](http://www.grinnell.edu/academics/area...,Publisher's Note,True,publisher-header.jpg,Photo of Gray-headed Coneflowers and Bee Balm,,,,,,publisher,15/08/2023 13:32:42,False
volume-ix-issue-1,clotfelter,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/clotfelter ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/clotfelter ,https://rootstalk.grinnell.edu/volume-ix-issue-1/clotfelter ,Tornadoes in Kansas,,,10,,rootstalk-2023-spring,[],1,author,Beryl Clotfelter,clotfelter-1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of Beryl Clotfelter,"Born in Oklahoma in 1926, Beryl Clotfelter moved to Kansas at the age of two and lived in southern Kansas until he en-tered colle...",Essay,True,clotfelter-header.jpg,,,by Beryl Clotfelter,,,,clotfelter,18/08/2023 08:13:13,False
volume-ix-issue-1,schrager,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/schrager ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/schrager ,https://rootstalk.grinnell.edu/volume-ix-issue-1/schrager ,Researching Corn in Iowa and Beyond,,,11,,rootstalk-2023-spring,[],1,author,,schrager-1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of Benjamin Schrager,"Benjamin Schrager is from Olympia, Washington. He graduated from Grinnell College in 2008. With a PhD in Geography from the [Univ...",Essay,True,schrager-header.jpg,,,by Benjamin Schrager,,,,schrager,18/08/2023 08:13:13,False
volume-ix-issue-1,colbert,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/colbert ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/colbert ,https://rootstalk.grinnell.edu/volume-ix-issue-1/colbert ,Iowa's Lichens: Found and Lost,,,16,,rootstalk-2023-spring,[],1,author,James Colbert,colbert-1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of James Colbert,"Jim Colbert grew up in Cedar Rapids, Iowa, and graduated in Biology from Iowa State University. After graduate school at the Univ...",Essay,True,colbert-header.jpg,,,by James Colbert,,,,colbert,18/08/2023 08:13:13,False
volume-ix-issue-1,editors,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/editors ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/editors ,https://rootstalk.grinnell.edu/volume-ix-issue-1/editors ,The Editors,,,1,,rootstalk-2023-spring,[],,,,,,,Editors' Photo,True,class-header.jpg,Photo of the Spring 2023 Rootstalk class,,by Spring 2023 Editors,,,True,editors,15/08/2023 13:32:42,False
volume-ix-issue-1,gresham,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/gresham ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/gresham ,https://rootstalk.grinnell.edu/volume-ix-issue-1/gresham ,Sundogs,,,20,,rootstalk-2023-spring,[],1,author,Will Gresham,gresham-1-volume-ix-issue-1-spring-2023-.jpg,Photo by Beck Lambert,Will Gresham is an undergraduate at Grinnell College where he leads the off-campus [Stew Makerspace's](https://stew.sites.grinnel...,Photo Essay,True,gresham-header.jpg,,,by Will Gresham,,,,gresham,18/08/2023 08:13:13,False
